sents,labels
"The American people place a high value on their many connections to you — through trade and tourism , academic exchanges , and cultural and familial ties .",B-Organisation I-Organisation I-Organisation O O O O O B-Organisation O O O O O O O O O O O O O O O O O O O
"It is available for an Arab audience throughout the world via satellite , online streaming through its website and in the Americas on myTV . [ 1 ]",O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O O O O O B-Location I-Location O B-Organisation O O O O
This is a significant day ; Sinjar has been liberated after its violent and unwanted occupation by the terrorist group ISIL .,O O O O O O B-Location O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O
“ There is only one way to end this conflict : a Syrian - led political settlement based on a transition away from the Assad regime .,O O O O O O O O O O O O B-Nationality O O O O O O O O O O B-Organisation I-Organisation I-Organisation O
"“ The Syrian army now claims full control of Aleppo , but this is a hollow victory .",O B-Organisation I-Organisation I-Organisation O O O O O B-Location O O O O O O O O
"On 23 May 2006 , he admitted that he had abducted and killed citizens from Jordan and Iraq , and had abducted two Moroccans in October 2005 . [ 4 ] [ 5 ]",O B-Temporal I-Temporal I-Temporal O B-Person O O B-Person O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O B-Organisation I-Organisation O B-Temporal I-Temporal O O O O O O O
The U.S. government takes all reports of potential sanctions violations seriously .,B-Organisation I-Organisation I-Organisation O O O O O O O O O
"Qanbar was a commander in the navy during Saddam Hussein ' s reign , and took part in the Iran - Iraq War of 1980 - 88 , and the war over Kuwait in 1990 - 91 .",B-Person O O O O B-Organisation I-Organisation O B-Person I-Person O O O O O O O O O O O O O O B-Temporal I-Temporal I-Temporal O O O O O B-Location O B-Temporal I-Temporal I-Temporal O
Witnesses believe the attack in Daquq was an air strike because of the sound of aircraft and scale of destruction .,B-Organisation O O O O B-Location O O B-Weapon I-Weapon O O O O O B-MilitaryPlatform O O O O O
This agreement is an important step in the process for Iraq to obtain greater access to international capital markets .,O O O O O O O O O O B-Organisation O O O O O O O O O
The full report can be found on the Human Rights Council web page dedicated to the commission of inquiry on the Syrian Arab Republic .,B-DocumentReference I-DocumentReference I-DocumentReference O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O
They have now lost more than 30 percent of the territory they once held there .,B-Organisation O O O O O B-Quantity I-Quantity O B-Location I-Location B-Organisation O O O O
""" The enemy has used chemical weapons in the past , and we ' re going to make sure we are taking every measure to mitigate the risk to our forces , "" said Maj. Gen. Gary J. Volesky , commander , Combined Joint Forces Land Component Command - Operation Inherent Resolve .",O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O O O O O O O O B-Organisation I-Organisation O O O B-Person I-Person I-Person I-Person I-Person O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O
Raqqa in Next Isolation Phase,B-Location O O O O
We will continue to lead the global coalition to degrade and defeat Da ’ esh so that it can no longer brutalize those who reject its tormented worldview .,B-Organisation O O O O B-Organisation I-Organisation I-Organisation O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O O O O O O
"now totals 6 , 602 .",O O B-Quantity I-Quantity I-Quantity O
"Following the meeting in Paris the Foreign Secretary will return to the Gulf , visiting Saudi Arabia on 11 December .",O O O O B-Location B-Person I-Person I-Person O O O B-Location I-Location O O B-Location I-Location O B-Temporal I-Temporal O
These vicious acts of mass murder are a sobering reminder of the need to continue coalition operations against Da ’ esh and to eliminate the threat this terrorist group poses .,O O O O O O O O O O O O O O O B-Organisation O O B-Organisation I-Organisation I-Organisation O O O O O B-Organisation I-Organisation I-Organisation O O
The city of Mosul is the largest city controlled by Daesh in Iraq .,B-Location I-Location I-Location I-Location O O O O O O B-Organisation O B-Location O
Minister for the Middle East Tobias Ellwood comments on reports of violations of the ceasefire in Syria announced by Russia and Turkey on 29 December .,B-Person I-Person I-Person I-Person I-Person I-Person I-Person O O O O O O O O O B-Location O O B-Organisation O B-Organisation O B-Temporal I-Temporal O
Minister for the Middle East Tobias Ellwood comments on the start of the Iraqi mission to recapture the city of Mosul in Iraq .,B-Person I-Person I-Person I-Person I-Person I-Person I-Person O O O O O B-Organisation I-Organisation I-Organisation O O B-Location I-Location I-Location I-Location O B-Location O
"The explosion occurred outside a courthouse in the town , just 7km ( four miles ) from the Turkish frontier .",O O O O B-Location I-Location O B-Location I-Location O O B-Quantity O B-Quantity I-Quantity O O B-Location I-Location I-Location O
Iraqi security forces and allied Shia Muslim paramilitary groups have been accused of committing serious violations during previous operations against IS .,B-Organisation I-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O B-Organisation O
". Near Sinjar , one strike suppressed an ISIL tactical unit .",O O B-Location O O O O B-Organisation I-Organisation I-Organisation I-Organisation O
"In support of the Iraqi Security Forces , Coalition aircraft conducted a precision strike on the location to target enemy fighters firing on Iraqi forces .",O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O B-Location I-Location O O B-Organisation I-Organisation O O B-Organisation I-Organisation O
"HRW studied video footage and photos of the aftermath , which it said did not show any military structures or forces in the vicinity .",B-Organisation O O O O O O O O O O B-Organisation O O O O O O O O O O O O O
"We are targeting developers , proliferators and users of chemical weapons , along with businessmen and companies supporting the brutal shabiha militias .",B-Organisation O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Weapon I-Weapon O O O B-Organisation O B-Organisation O O O B-Organisation I-Organisation O
"The strikes were conducted as part of Operation Inherent Resolve , the operation to eliminate the ISIL terrorist group and the threat they pose to Iraq , Syria , and the wider international community .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"He often goes to the scenes of bombings to play because he knows that , with every day this war goes on , a bit more of the fabric of life in this city dies .",B-Person O O O B-Location I-Location I-Location I-Location O O O B-Person O O O O O O O O O O O O O O O O O O O O B-Location I-Location O O
"This means it will be an offence under Australian law to enter , or remain in , Mosul district without a legitimate purpose .",O O O O O O O O B-Nationality O O O O O O O O B-Location I-Location O O O O O
"In the past 24 hours , Iraqi forces maintained their defensive positions against Islamic State of Iraq and the Levant fighters on three sides of Mosul , the country ’ s second - largest city , Pentagon press operations director Navy Capt. Jeff Davis said today .",O O B-Temporal I-Temporal I-Temporal O B-Organisation I-Organisation O O B-Location I-Location O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O B-Location O B-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location O B-Person I-Person I-Person I-Person I-Person I-Person B-Person I-Person O O O
Syria,O
"No matter the circumstances , on this point we remain absolute : the United States remains committed to assisting the UN High Commissioner for Refugees in the relocation of all Camp Hurriya residents to a permanent and safe location outside of Iraq .",O O O O O O O O B-Organisation O O O B-Organisation I-Organisation I-Organisation O O O O B-Person I-Person I-Person I-Person I-Person I-Person O O O O O B-Organisation I-Organisation I-Organisation O B-Location I-Location I-Location I-Location I-Location O O B-Location O
"Hospital activities include internal specialties , including cardiac , neurological , gastrointestinal and kidney .",B-Location O O O O O O O O O O O O O O
Sadiq beamed .,B-Person O O
". Near Dayr Az Zayr , one strike destroyed an oil pump jack .",O O B-Location I-Location I-Location O O O O O O O O O
"Syria is being ripped apart by this widespread destruction , the fuelling of sectarian divisions , and the slaughter and scattering of its communities .",B-Location O O O O O O O O O O O O O O O O O O O O O B-Organisation I-Organisation O
""" "" "" We have to go through bombed - out buildings to hide ourselves from snipers .",O O O B-Organisation O O O O B-Location I-Location I-Location I-Location O O B-Organisation O B-Organisation O
". Near Palmyra , two strikes engaged an ISIL tactical unit and destroyed two tactical vehicles .",O O B-Location O B-Quantity O O B-Organisation I-Organisation I-Organisation I-Organisation O O B-Quantity B-MilitaryPlatform I-MilitaryPlatform O
The United States remains committed to that goal .,B-Organisation I-Organisation I-Organisation O O O O O O
"At least 10 U.S. Marines and an unknown number of Iraqi soldiers died . [ 3 ] [ 4 ] [ 5 ] A local physician from Husaybah , Zahid Mohammed Rawi , said that medical workers had counted 97 civilians killed in the first week of the operation . [ 2 ]",B-Quantity I-Quantity I-Quantity B-Organisation I-Organisation O O O O O B-Organisation I-Organisation O O O O O O O O O O O B-Person I-Person I-Person O B-Location O B-Person I-Person I-Person O O O B-Organisation I-Organisation O O B-Organisation I-Organisation O O B-Temporal I-Temporal I-Temporal O O O O O O O
The UK is working with its allies to support the moderate Syrian Opposition to defend the Syrian people from Assad ’ s inhumanity and ISIL ’ s savagery .,B-Organisation I-Organisation O O O B-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation O B-Person O O O O B-Organisation O O O O
Once there he spends much of his time with a rifle in one hand and a book in the other .,O B-Location B-Person O O O O O O B-Weapon I-Weapon O O O O O O O O O O
"“ The entire counter - ISIL coalition sends our condolences to this hero ' s family , friends and teammates , ” Army Lt. Gen. Stephen J. Townsend , commander of Combined Joint Task Force - Operation Inherent Resolve , said in the release .",O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O B-Person I-Person O O O O O O O O O B-Person I-Person I-Person I-Person I-Person I-Person O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O
The start of Iraqi operations to retake the city of Mosul marks another step forward towards clearing Daesh from Iraq .,O O O B-Nationality O O O B-Location I-Location I-Location I-Location O O O O O O B-Organisation O B-Location O
Foreign Secretary welcomes new Syria sanctions listings that apply further pressure on Assad ’ s brutal regime .,B-Person I-Person O O B-Organisation O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O
Iraqi officials said the IS group had used laboratories in the university complex to make chemical weapons .,B-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation O O O O B-Location I-Location I-Location O O B-Weapon I-Weapon O
"It was founded by Bassel al - Assad in 1989 , and was subsequently headed by his brother Bashar al - Assad , [ 1 ] who would later become the President of Syria .",B-Organisation O O O B-Person I-Person I-Person I-Person O B-Temporal O O O O O O O O B-Person I-Person I-Person I-Person O O O O O O O O B-Person I-Person I-Person I-Person O
This is more than just the latest military result against this barbaric group .,O O O O O O O O O O B-Organisation I-Organisation I-Organisation O
"Buried beneath a bomb - damaged building , it ' s home to a secret library that provides learning , hope and inspiration to many in the besieged Damascus suburb of Darayya .",O O B-Location I-Location I-Location I-Location I-Location O O O O O O O O B-Location O O O O O O O O O O O O B-Location B-Location I-Location I-Location O
""" "" The liberation of the University of Mosul means much , given its cultural , social and human symbolism . "" "" """,O O O O O B-Location I-Location I-Location I-Location O O O O O O O O O O O O O O O
Al Assad University Hospital in Damascus is one of the largest teaching hospitals in Syria .,B-Location I-Location I-Location I-Location O B-Location O O O O O O O O B-Location O
"A strike , as defined in the CJTF releases , means one or more kinetic events that occur in roughly the same geographic location to produce a single , sometimes cumulative effect for that location .",O O O O O O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Unfortunately for Omar , his fellow fighters and the people of Darayya , they may soon have little time for reading .",O O B-Person O B-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation O B-Organisation O O O O O O O O
It is predominately Shia Arab . [ 1 ],O O O B-Nationality I-Nationality O O O O
Philip Hammond welcomes agreement between Iraqi and Kurdistan Regional governments on oil exports and revenue sharing .,B-Person I-Person O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O
""" "" Iraqi forces should investigate whether this was a possible unlawful airstrike that killed civilians and report their findings .",O O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O
One man I spoke to predicted that after nearly four long years of siege Darayya could fall within days .,B-Person I-Person B-Person O O O O O B-Temporal I-Temporal I-Temporal I-Temporal O O B-Location O O O O O
""" Keating ' s honorable and selfless service was in keeping with the finest traditions of military service and certainly will not be forgotten as we continue to put pressure on and ultimately eliminate the terrorists associated with ISIL .",O B-Person O O O O O O O O O O O O O O O O O O O O O O O B-Organisation O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O
There can be no military solution in Syria .,O O O O O O O B-Location O
"Abu Ghadiya ( Arabic : أ ب و غ ا د ي ة ‎ ‎ ) , born Badran Turki Hishan al - Mazidi ( Arabic : ب د ر ا ن ت ر ك ي ه ي ش ا ن ا ل م ز ي د ي ‎ ‎ ) sometime between 1977 - 1979 in Mosul , was a Sunni militant active with al - Qaeda in Iraq ( AQI ) .",B-Person I-Person O O O O O O O O O O O O O O O O B-Person I-Person I-Person I-Person I-Person I-Person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Temporal I-Temporal I-Temporal O B-Location O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Organisation O O
"""",O
". Near Rawah , two strikes engaged an ISIL tactical unit and destroyed two ISIL - held building and a VBIED .",O O B-Location O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O B-Quantity B-Location I-Location I-Location I-Location O B-Weapon I-Weapon O
""" "" "" All I know is I ' m just being fired at , "" "" she says . """,O O O O B-Person O O B-Person O O O O O O O O O B-Person O O O
"The majority of these places are near the front line , so collecting them is very dangerous , "" "" he says . """,O O O O O O O B-Location I-Location I-Location O O O O O O O O O O B-Person O O O
UK - France relationship,B-Organisation O B-Organisation O
"It also identifies some important ways in which Australia ’ s response to this , and other , protracted crises might be further strengthened .",O O O O O O O O B-Organisation O O O O O O O O O O O O O O O O
This resolution gives us a timetable and a clear way forward .,O O O B-Organisation O O O O O O O O
The command intends to hold three town halls next year with varying agendas to convey useful information to the civilian workforce and to take questions and recommendations .,B-Organisation I-Organisation O O O O O O B-Temporal I-Temporal O O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O
"During the summit , ministers made the following announcements :",O O O O B-Organisation O O O O O
"About 8 , 000 of Darayya ' s population of 80 , 000 have fled .",O B-Quantity I-Quantity I-Quantity O B-Organisation I-Organisation I-Organisation I-Organisation O B-Quantity I-Quantity I-Quantity O O O
"We will host in Brussels in mid January a round of bilateral talks to find common ground on the post conflict in Syria , and on reconciliation and reconstruction , in full coordination and support of the talks that will be held in Geneva in February . In addition , the EU will be hosting a conference in Brussels , follow - up to last year ' s London conference on Syria , in spring .",B-Organisation O O O B-Location O B-Temporal I-Temporal O O O O O O O O O O O O O O B-Location O O O O O O O O O O O O O O O O O O O O B-Location O B-Temporal O O O O B-Organisation I-Organisation O O O O O O B-Location O O O O O B-Temporal I-Temporal O O B-Location O O B-Location O O B-Temporal O
"In this context , the announcement of an agreement for cessation of hostilities on the eve of a New Year is welcome .",O O O O O O O O O O O O O O B-Temporal I-Temporal I-Temporal I-Temporal I-Temporal I-Temporal O O O
Boris Johnson,O O
"Petty Officer Keating was advising and assisting our Kurdish partners , in support of Operation Inherent Resolve . """,B-Person I-Person I-Person O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O
"I ' m behind on my rent , I have debts . "" "" """,B-Person O O O O B-Person O O B-Person O O O O O O
"Because of his associations with ISIL terror attack planners and War Council members , his death will degrade ISIL ' s ability to defend Raqqah and launch external operations against the West .",O O B-Person O O B-Organisation O O O O B-Organisation I-Organisation O O B-Person O O O B-Organisation O O O O O B-Location O O O O O B-Organisation I-Organisation O
"However , in Jordan , he can be paid only the minimum wage .",O O O B-Location O B-Person O O O O O O O O
"They falsely use the name of Islam to commit atrocities and have once again slaughtered Sunnis , those they claim to be defending .",B-Organisation O O O O O B-Nationality O O O O O O O O O O O B-Organisation O O O O O
"Time permitting , journalists outside the Pentagon will also be able to ask questions .",O O O B-Organisation O B-Organisation I-Organisation O O O O O O O O
""" In 2004 an Arabic - language manual , which carried the logo and address of the Brandbergen Mosque , was spread on the internet .",O O B-Temporal O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O O O O B-DocumentReference O O O B-Location I-Location I-Location O O O O O O O
"SECRETARY KERRY : We obviously talked about the extraordinarily dire situation in Aleppo and we exchanged some ideas about it , and we intend to connect in the morning to see where we are on it .",B-Person I-Person O B-Organisation O O O O O O O O B-Location O B-Organisation O O O O O O O B-Organisation O O O O B-Temporal I-Temporal O O O B-Organisation O O O O
""" In May 2013 , 700 domains registered by Syrians , mostly hosted at servers with IP addresses assigned to the Syrian Computer Society , [ 3 ] were reported to have been seized by the U.S. DNS infrastructure operator Network Solutions . [ 2 ] The domain names were marked as "" "" OFAC Holding "" "" , believed to be a reference to the U.S. federal government ' s Office of Foreign Assets Control . [ 3 ] """,O O B-Temporal I-Temporal O B-Quantity I-Quantity O O B-Organisation O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O O B-Organisation O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O
So we can be like that too .,O B-Organisation O O O O O O
"The operation is expected to take weeks , if not months , depending on how much resistance they face from the 3 , 000 to 5 , 000 militants believed to be inside Mosul .",O O O O O O B-Temporal O O O B-Temporal O O O O O O B-Organisation O O O B-Quantity I-Quantity I-Quantity I-Quantity I-Quantity I-Quantity I-Quantity B-Organisation O O O O B-Location O
"On Saturday , militants shot dead three women and three children from Rufaila , also south of Mosul , because they were trailing behind a group of other people from the same village who were being forced by IS to relocate to another area .",O B-Temporal O B-Organisation O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Location O O O O B-Location O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O B-Location I-Location I-Location O O O O O B-Organisation O O O B-Location I-Location O
We must keep pushing for a return to a political process with the credibility necessary for all parties to commit to an end to all the fighting .,B-Organisation O O O O O O O O O O O O O O O B-Organisation I-Organisation O O O O O O O O O O
"Despite being captured by American forces , Qanbar was later decorated by Saddam for his bravery in defense of the island . [ 2 ] After the war , Qanbar was posted in Basra , but was excluded from new commands after he refused to stop the 1991 Shiite uprising . [ 1 ]",O O O O B-Organisation I-Organisation O B-Person O O O O B-Person O B-Person O O O O B-Location I-Location O O O O O O O O B-Person O O O B-Location O O O O O B-Organisation I-Organisation O B-Person O O O O B-Temporal B-Nationality O O O O O
- Strengthen relationships with allies .,O O O O B-Organisation O
I congratulate all concerned for their work to resolve this long - standing disagreement .,B-Person O O O O O O O O O O O O O O
"Coalition nations which have conducted strikes in Syria include Australia , Bahrain , Canada , Denmark , France , Jordan , the Netherlands , Saudi Arabia , Turkey , United Arab Emirates , the United Kingdom , and the United States .",B-Organisation I-Organisation O O O O O B-Location O B-Organisation O B-Organisation O B-Organisation O O O B-Organisation O B-Organisation O O B-Organisation O B-Organisation I-Organisation O B-Organisation O B-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation O
“ The Foreign Secretary underlined the UK ’ s commitment to supporting the government of Iraq to defeat terrorism and to give all Iraqis new hope for the future .,O B-Person I-Person I-Person O B-Organisation I-Organisation O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O B-Organisation O O O O O O
"Abboud Qanbar ( Arabic : ‎ ‎ ع ب و د ق ن ب ر ) , also known as Abu Haidar , [ 1 ] is an Iraqi General .",B-Person I-Person O O O O O O O O O O O O O O O O O O B-Person I-Person O O O O O O O O O
Strike assessments are based on initial reports .,O O O O O O O O
"MR KIRBY : Thanks , everybody .",B-Person I-Person O O O O O
"It ' s a great way of exchanging ideas as well as books . "" "" """,O O O O O O O O O O O O O O O O O
"He was a previous member of the ISIL ' s War Committee and was involved in their retaking of Palmyra , Syria , before being reassigned to Tabqa to try to improve ISIL ' s defenses against the Syrian Democratic Forces .",B-Person O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O B-Location I-Location I-Location O O O O O B-Location O O O O B-Organisation O O O O B-Organisation I-Organisation I-Organisation I-Organisation O
"The UK will continue to work with the international community to pursue an end to the regime ’ s indiscriminate bombing campaign , full and sustained humanitarian access , an immediate and lasting ceasefire , and a return to the negotiating table .",B-Organisation I-Organisation O O O O O B-Organisation I-Organisation I-Organisation O O O O O B-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O O O O O O O O
A Foreign Office spokesman said :,B-Person I-Person I-Person I-Person O O
My thoughts are with the family and friends of those who have been killed and injured in such a horrific act .,B-Person O O O B-Organisation I-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O
"This week sees the start of a second round of talks in the framework of the European Union ' s Regional Initiative on the future of Syria , High Representative Federica Mogherini ’ s initiative to identify post - conflict arrangements for the country .",B-Temporal I-Temporal O O O O O O O O O O O O O O B-Organisation I-Organisation O O O O O O O O O O B-Person I-Person I-Person I-Person O O O O O O O O O O B-Location I-Location O
""" "" Before we couldn ' t work outside easily .",O O O B-Organisation O O O O O O O
"And then there ' s the vast majority who feel they have no choice but to carry on , no matter what .",O O O O O O O O O O O O O O O O O O O O O O O
"In antiquity , the mountains were part of the frontier region between Babylonia to the south and Assyria to the north .",O O O B-Location I-Location O O O B-Location I-Location I-Location O B-Location O O O O B-Location O O O O
"The Syrian Democratic Forces announced that they began their advance to isolate Raqqah , Syria , Nov. 6 , 2016 .",B-Organisation I-Organisation I-Organisation I-Organisation O O B-Organisation O O O O O B-Location O B-Location O B-Temporal I-Temporal I-Temporal I-Temporal O
The main purpose of the dam is to divert floodwater in the Tigris River to Lake Tharthar through the Tharthar depression along with irrigation and an 84 MW hydro - electricity station .,O O O O B-Location I-Location O O O O O B-Location I-Location I-Location O B-Location I-Location O B-Location I-Location I-Location O O O O O O O B-Location I-Location I-Location I-Location O
"Ultimately , the liberation of Raqqah will free Syrians to return to a life free from Islamic State of Iraq and Levant atrocities and deny ISIL a safe haven to plot external attacks against the West .",O O O O O B-Location O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O B-Organisation O O O O O O O O B-Location I-Location O
"I offer my sincere condolences to the families and friends of the victims , and hope those injured in the attack recover quickly .",B-Person O O O O O O O O O O O O O O O O O O O O O O O
"After being captured in Fialaka , he was briefly transferred to Saudi Arabia before his release .",O O O O B-Location O B-Person O O O O B-Location I-Location O O O O
The United States continues to stand shoulder to shoulder with the Iraqi people as they confront ISIL and the violence it represents .,O O O O O O O O O O B-Organisation I-Organisation I-Organisation O O O B-Organisation O O O O O O
Following the meeting the Foreign Secretary said :,O O O B-Person I-Person I-Person O O
"On Jan. 10 , Coalition military forces conducted 23 strikes against ISIL terrorists in Syria and Iraq .",O B-Temporal I-Temporal O B-Organisation I-Organisation I-Organisation O B-Quantity O O B-Organisation O O B-Location O B-Location O
The Coalition ’ s strategy to defeat ISIL is succeeding .,B-Organisation I-Organisation O O O O O B-Organisation O O O
In April 2015 the Tharthar Barrage was captured by The Islamic State after several days of fighting that saw 120 Iraqi soldiers and a senior Iraqi general killed .,O B-Temporal I-Temporal B-Location I-Location I-Location O O O B-Organisation I-Organisation I-Organisation O O O O O O O B-Organisation I-Organisation I-Organisation O B-Person I-Person I-Person I-Person O O
"The United States strongly condemns today ’ s brutal , senseless terrorist attack on Camp Hurriya that killed and injured camp residents .",B-Organisation I-Organisation I-Organisation O O O O O O O O O O O B-Location I-Location O O O O B-Organisation I-Organisation O
""" "" "" So , for example , when I have finished reading a book I go up to one of the others on the front line and exchange it for one he has just read .",O O O O O O O O O B-Person O O O O O B-Person O O O O O B-Organisation I-Organisation O B-Location I-Location I-Location O O O O O B-Person O O O O
This realignment is partially designed to improve operations by keeping maintenance and operations teams together both during the deployment and when training at home station .,O O O O O O O O O O O O B-Organisation I-Organisation O O O O O O O O O O O O
"The UN Security Council is clear that the use of starvation of civilians as a method of combat , including the besiegement of populated areas , is unacceptable .",B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O O O O O O O O O O O O B-Location I-Location O O O O
"We are proud that the international coalition has supported the Iraqi Security Forces in its efforts to defeat ISIL and despite their propaganda machine , ISIL are losing this fight .",B-Organisation O O O B-Organisation I-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O B-Organisation O O O O O O B-Organisation O O O O O
"Gen . Joseph Votel , commander of U.S. Central Command said , "" We ' ve been very clear from the outset of this campaign that to defeat Daesh we would need to work with many different elements operating on the ground in Iraq and Syria .",O O B-Person I-Person O B-Person I-Person I-Person I-Person I-Person O O O B-Organisation O O O O O O O O O O O O O O B-Organisation B-Organisation O O O O O O O O O O O O O B-Location O B-Location O
"The attacks in Qamenas , Sarmin and Talamenes demonstrate the cruel barbarity of the Asad regime in this conflict .",O O O B-Location O B-Location O B-Location O O O O O B-Organisation I-Organisation I-Organisation O O O O
Syria,B-Location
"They call him "" "" the maestro "" "" . """,O O B-Person O O O O O O O O
"In all five chapters of this book , the words of God are given in the first person , in contrast to the Black Book , which records the acts of God in the third person .",O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O O O O O O O O O O O O O O O B-DocumentReference I-DocumentReference I-DocumentReference O O O O O O O O O O O O
"He will also meet with senior U.S. military officials to discuss our ongoing support for the Iraqi Armed Forces , Popular Mobilization Forces , and others in support of the coalition campaign against Daesh .",B-Person O O O O B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation O O B-Organisation O O O B-Organisation I-Organisation O O B-Organisation O
"For the same reason , it ' s long been impossible for journalists to enter Darayya , so I have been conducting interviews by Skype - my conversations repeatedly interrupted by shattering explosions , so loud that they distort the studio ' s speakers .",O O O O O O O O O O O O B-Organisation O O B-Location O O B-Person O O O O O O O O O O O O O O O O O O O O B-Location I-Location O O O O
"Assad has been utterly dependent on foreign militias and Russian air support , and has caused destruction on a tragic scale including further atrocities against the Syrian people .",B-Person O O O O O B-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation O O O O O O O O O O O O O O B-Nationality B-Organisation O
"QUESTION : Secretary Kerry , did you discuss Aleppo ?",O O B-Person I-Person O O O O B-Location O
"ISIL has had control of Mosul for two years , and the Iraqis have cleared 15 to 20 percent of the city of enemy forces since the liberation of the city began Oct. 17 , Davis said .",B-Organisation O O O O B-Location O B-Temporal I-Temporal O O B-Organisation I-Organisation O O B-Quantity I-Quantity I-Quantity I-Quantity O B-Location I-Location O B-Organisation I-Organisation O O O O B-Location I-Location O B-Temporal I-Temporal O B-Person O O
""" We mourn the loss of one of our own , Navy Special Warfare Operator 1st Class Charles H. Keating IV , who was killed yesterday in northern Iraq .",O B-Organisation O O O O O O O O O B-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person I-Person O O O O B-Temporal O B-Location I-Location O
"In the campaign to liberate the Iraqi city of Mosul , Iraqi security forces have made progress in liberating neighborhoods and in clearing areas already liberated , he said .",O O O O O O B-Nationality B-Location I-Location I-Location O B-Organisation I-Organisation I-Organisation O O O O O B-Location O O O B-Location I-Location I-Location O B-Person O O
"The victims included his nephews working in the family ' s clothing business , together with their wives and children .",B-Organisation I-Organisation O B-Organisation I-Organisation O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O B-Organisation I-Organisation I-Organisation I-Organisation O
"I welcome the important steps that have been taken by Prime Minister Abadi and his government in recent weeks in support of this , including today ’ s announcement .",B-Person O O O O O O O O O B-Person I-Person I-Person O B-Organisation I-Organisation O O O O O O O O O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O
""" I am delighted that FS Forbin will be operating as part of CTF 50 and looking forward to the contribution she will make to ongoing U.S. , U.K. and French maritime security operations in the Gulf , "" said Burns .",O O O O O B-MilitaryPlatform I-MilitaryPlatform O O O O O O B-Organisation I-Organisation O O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Location I-Location O O O B-Person O
